G_Name,Year,Amount,
"George B. Storer Foundation, Inc.",2018,25000.00,
"Chrest Foundation, Inc.",2020,50000.00,
Alliance for Open Society International Inc.,2017,50000.00,
Mid-Iowa Health Foundation,2017,1000.00,
"Ben & Jerry's Foundation, Inc.",2015,50000.00,
McKnight Foundation,2020,200000.00,
The Minneapolis Foundation,2018,20000.00,
McKnight Foundation,2016,100000.00,
McKnight Foundation,2015,150000.00,
The Minneapolis Foundation,2019,15000.00,
Clif Bar Family Foundation,2019,2500.00,
The Minneapolis Foundation,2018,15000.00,
Clif Bar Family Foundation,2017,2500.00,
Women First International Fund,2018,7500.00,
Kresge Foundation,2018,125000.00,
Kresge Foundation,2018,100000.00,
The Joyce Foundation,2017,200000.00,
Kresge Foundation,2017,100000.00,
Kresge Foundation,2015,105770.00,
Charles Stewart Mott Foundation,2016,200000.00,
The Robert Wood Johnson Foundation,2020,600000.00,
Ford Foundation,2017,270000.00,
Skoll Global Threats Fund,2015,75000.00,
Global Greengrants Fund Inc,2017,25000.00,
The Robert Wood Johnson Foundation,2019,425000.00,
Oak Foundation,2019,290000.00,
The Rockefeller Foundation,2018,150000.00,
Educational Foundation of America,2018,75000.00,
The John Merck Fund,2018,50000.00,
V. Kann Rasmussen Foundation Inc.,2017,150000.00,
The David and Lucile Packard Foundation,2016,249828.00,
McKnight Foundation,2016,150000.00,
V. Kann Rasmussen Foundation Inc.,2016,150000.00,
The David and Lucile Packard Foundation,2016,20000.00,
The David and Lucile Packard Foundation,2015,157987.00,
The Ryan & Genevieve Tedder Foundation,2018,8000.00,
Barr Foundation,2019,220000.00,
Barr Foundation,2019,205000.00,
Oak Grove School,2016,1600.00,
Global Greengrants Fund Inc,2019,100000.00,
"Wellspring Philanthropic Fund, Inc.",2018,250000.00,
"Wellspring Philanthropic Fund, Inc.",2017,250000.00,
The Skoll Foundation,2016,50000.00,
The Schmidt Family Foundation,2015,100000.00,
McKnight Foundation,2020,100000.00,
The Minneapolis Foundation,2019,55000.00,
McKnight Foundation,2018,150000.00,
The Minneapolis Foundation,2018,55000.00,
Tides Foundation,2020,25000.00,
Environmental Defense Fund Incorporated,2018,30000.00,
Environmental Defense Fund Incorporated,2017,30000.00,
Environmental Defense Fund Incorporated,2017,30000.00,
Global Greengrants Fund Inc,2019,5000.00,
Global Greengrants Fund Inc,2019,2000.00,
African Women's Development Fund,2016,30000.00,
Global Greengrants Fund Inc,2017,10000.00,
Global Greengrants Fund Inc,2017,10000.00,
Global Greengrants Fund Inc,2016,9000.00,
New Hampshire Charitable Foundation,2019,1000.00,
New Hampshire Charitable Foundation,2019,20000.00,
New Hampshire Charitable Foundation,2018,20000.00,
Jane's Trust Foundation,2017,80000.00,
New Hampshire Charitable Foundation,2017,20000.00,
Jane's Trust Foundation,2016,75000.00,
New Hampshire Charitable Foundation,2016,20000.00,
Jane's Trust Foundation,2015,36000.00,
The William and Flora Hewlett Foundation,2020,250000.00,
The William and Flora Hewlett Foundation,2019,500000.00,
Linden Trust For Conservation,2018,25000.00,
John D. and Catherine T. MacArthur Foundation,2017,870000.00,
Pisces Foundation,2017,98147.00,
Linden Trust For Conservation,2017,25000.00,
Onion Foundation,2020,1000.00,
Onion Foundation,2019,10000.00,
"Shared Visions Foundation, Inc.",2018,825.00,
"Shared Visions Foundation, Inc.",2016,300.00,
Onion Foundation,2020,37500.00,
Jane's Trust Foundation,2018,90000.00,
Onion Foundation,2018,7500.00,
Alfred P. Sloan Foundation,2017,86128.00,
Jane's Trust Foundation,2017,80000.00,
Jane's Trust Foundation,2016,75000.00,
Jane's Trust Foundation,2015,125000.00,
Livingry Foundation,2016,5000.00,
"New England Grassroots Environmental Fund, Inc.",2019,7500.00,
Kresge Foundation,2015,660000.00,
NoVo Foundation,2018,750000.00,
Charles Stewart Mott Foundation,2020,350000.00,
Charles Stewart Mott Foundation,2020,150000.00,
Charles Stewart Mott Foundation,2019,500000.00,
The Robert Wood Johnson Foundation,2019,375748.00,
Charles Stewart Mott Foundation,2019,251470.00,
Charles Stewart Mott Foundation,2018,500000.00,
Michigan Forest Resource Alliance,2018,8200.00,
William T. Grant Foundation,2016,92680.00,
Australian Communities Foundation,2019,6974.00,
Community Foundation of Western Massachusetts,2019,21100.00,
"Town Creek Foundation, Inc.",2017,13000.00,
"The New-Land Foundation, Inc.",2018,20000.00,
"The New-Land Foundation, Inc.",2017,20000.00,
"The New-Land Foundation, Inc.",2017,20000.00,
The National Lottery Community Fund,2019,12828.00,
Joseph Rowntree Charitable Trust,2016,101096.00,
Joseph Rowntree Charitable Trust,2015,46183.00,
The Wilburforce Foundation,2017,10000.00,
Global Greengrants Fund Inc,2017,8000.00,
Bill & Melinda Gates Foundation,2020,45900000.00,
Global Greengrants Fund Inc,2016,2000.00,
Global Greengrants Fund Inc,2019,5000.00,
Environmental Defense Fund Incorporated,2017,20055.00,
Environmental Defense Fund Incorporated,2017,20055.00,
Global Greengrants Fund Inc,2016,2000.00,
International Indigenous Women's Forum,2017,5000.00,
Community Foundation Elmira-Corning,2020,16245.00,
Avatar Alliance Foundation,2016,50000.00,
International Community Foundation,2018,15000.00,
"FASOL - Fondo Acción Solidaria, A.C.",2018,1831.00,
"FASOL - Fondo Acción Solidaria, A.C.",2016,2188.00,
Global Greengrants Fund Inc,2018,2500.00,
Global Greengrants Fund Inc,2017,3500.00,
Global Greengrants Fund Inc,2016,3500.00,
Women Donors Network,2017,33000.00,
Women Donors Network,2016,30000.00,
Oregon Community Foundation,2019,5000.00,
Oregon Community Foundation,2018,5000.00,
Meyer Memorial Trust,2016,89250.00,
Silicon Valley Community Foundation,2019,3000.00,
The Susan A. & Donald P. Babson Charitable Foundation,2019,1000.00,
The Vibrant Village Foundation,2018,150000.00,
Silicon Valley Community Foundation,2018,8000.00,
Clif Bar Family Foundation,2019,5000.00,
Clif Bar Family Foundation,2018,5000.00,
Paul M. Angell Family Foundation,2019,50000.00,
Wallace Global Fund II,2018,50000.00,
Wallace Global Fund II,2015,50000.00,
Oregon Community Foundation,2017,12000.00,
Oregon Community Foundation,2017,10500.00,
Oregon Community Foundation,2016,20000.00,
The Libra Foundation,2020,200000.00,
The Libra Foundation,2019,400000.00,
The ARCA Foundation,2019,50000.00,
Jewish Community Foundation of Greater Hartford,2019,2000.00,
Silicon Valley Community Foundation,2019,500.00,
The Libra Foundation,2018,400000.00,
Wallace Global Fund II,2018,100000.00,
Greater Kansas City Community Foundation,2018,50000.00,
Park Foundation,2018,50000.00,
Fidelity Investments Charitable Gift Fund,2018,48950.00,
Agape Foundation,2018,28618.00,
Oregon Community Foundation,2018,25000.00,
Sheila Gold Foundation,2018,14000.00,
The New York Community Trust,2018,12500.00,
Global Greengrants Fund Inc,2018,10000.00,
William E. and Lucretia W. Evans Foundation,2018,7500.00,
Global Greengrants Fund Inc,2018,5000.00,
Jubitz Family Foundation,2018,5000.00,
Del Mar Global Trust,2018,2500.00,
The Boston Foundation,2018,2000.00,
The Gellman Foundation,2018,1500.00,
BridgeBuilders Foundation,2018,1000.00,
The Chicago Community Trust,2018,500.00,
Doris Duke Foundation Inc,2018,500.00,
Doris Duke Foundation Inc,2018,500.00,
Dr. Rudolph & Mildred Joseph Foundation,2018,500.00,
The Chicago Community Trust,2018,250.00,
The Chicago Community Trust,2018,250.00,
California Community Foundation,2017,500000.00,
Oregon Community Foundation,2017,100000.00,
"Rockefeller Brothers Fund, Inc.",2017,100000.00,
Meyer Memorial Trust,2017,60000.00,
Park Foundation,2017,30000.00,
Everhope Foundation,2017,25000.00,
The New York Community Trust,2017,20000.00,
Agape Foundation,2017,16576.00,
The New York Community Trust,2017,20000.00,
Agape Foundation,2017,16576.00,
Fidelity Investments Charitable Gift Fund,2017,12885.00,
Seattle Foundation,2017,10000.00,
The New York Community Trust,2017,10000.00,
Jubitz Family Foundation,2017,5000.00,
William E. and Lucretia W. Evans Foundation,2017,2000.00,
Rotberg Comens Bray Foundation,2017,1000.00,
Horizons Foundation,2017,750.00,
Horizons Foundation,2017,750.00,
Cottonwood Foundation,2017,500.00,
The Nell Newman Foundation Inc.,2017,500.00,
Doty Family Foundation,2017,375.00,
Greater Kansas City Community Foundation,2016,60000.00,
"Rockefeller Brothers Fund, Inc.",2016,50000.00,
Wallace Global Fund II,2016,30000.00,
Agape Foundation,2016,20024.00,
MRG Foundation,2016,20000.00,
Global Greengrants Fund Inc,2016,10000.00,
Apple Pickers Foundation,2016,10000.00,
Arkay Foundation,2016,3000.00,
"Stadler Family Charitable Foundation, Inc.",2016,2000.00,
"The Berkshire Taconic Community Foundation, Inc.",2016,500.00,
The Andrew W. Mellon Foundation,2020,4520000.00,
Hiland Foundation,2018,100000.00,
The Bullitt Foundation,2018,50000.00,
"World Vision, Inc.",2016,10000.00,
Charlotte Y. Martin Foundation,2018,10000.00,
Charlotte Y. Martin Foundation,2018,10000.00,
Mertz Gilmore Foundation,2016,25000.00,
Environmental Defense Fund Incorporated,2016,22500.00,
Charlotte Y. Martin Foundation,2016,15000.00,
"The Coca-Cola Foundation, Inc.",2015,500000.00,
New Jersey League of Conservation Voters Education Fund,2018,1500.00,
The National Lottery Community Fund,2019,12686.00,
Rasmuson Foundation,2018,40000.00,
Rasmuson Foundation,2018,17196.00,
The Endurance Fund,2018,2796.00,
Rasmuson Foundation,2017,500.00,
Rasmuson Foundation,2016,25000.00,
The Usibelli Foundation,2016,500.00,
"Northlight Foundation, Inc.",2020,50000.00,
"Northlight Foundation, Inc.",2019,100000.00,
"Northlight Foundation, Inc.",2020,50000.00,
"Northlight Foundation, Inc.",2019,50000.00,
Chorus Foundation,2020,83333.00,
Chorus Foundation,2019,83333.00,
Chorus Foundation,2019,83333.00,
M.J. Murdock Charitable Trust,2016,422600.00,
M.J. Murdock Charitable Trust,2016,15000.00,
"Town Creek Foundation, Inc.",2015,200000.00,
Merck Family Fund,2020,40000.00,
Merck Family Fund,2018,25000.00,
Merck Family Fund,2017,25000.00,
Weisman Foundation,2019,500.00,
The Robert Wood Johnson Foundation,2018,1200000.00,
Kresge Foundation,2018,250000.00,
Weisman Foundation,2018,500.00,
Weisman Foundation,2017,1000.00,
Marin Community Foundation,2020,10000.00,
Marin Community Foundation,2019,10000.00,
The Cynthia and George Mitchell Foundation,2018,50000.00,
Hsu Hwa Chao Foundation,2018,1500.00,
The Chicago Community Trust,2018,250.00,
Sea Change Foundation,2017,300000.00,
Sea Change Foundation,2017,200000.00,
The Cynthia and George Mitchell Foundation,2017,50000.00,
Sea Change Foundation,2016,500000.00,
Kresge Foundation,2016,300000.00,
Linden Trust For Conservation,2016,5000.00,
Sea Change Foundation,2015,250000.00,
Sea Change Foundation,2015,250000.00,
Linden Trust For Conservation,2015,150000.00,
International City/County Management Associat,2018,19168.00,
Energy Foundation China,2017,34892.00,
International City/County Management Associat,2017,29584.00,
V. Kann Rasmussen Foundation Inc.,2016,148800.00,
Global Greengrants Fund Inc,2018,10000.00,
"Island Foundation, Inc.",2017,20000.00,
CLEAN WATER FUND,2016,10000.00,
The David and Lucile Packard Foundation,2017,95000.00,
Gordon and Betty Moore Foundation,2020,750000.00,
Charles Stewart Mott Foundation,2020,300000.00,
Gordon and Betty Moore Foundation,2019,2399613.00,
Brabson Library & Educational Foundation,2019,3000.00,
Harbourton Foundation,2018,206686.00,
The New York Community Trust,2018,150000.00,
California Community Foundation,2018,100000.00,
Marine Biological Laboratory,2018,37418.00,
"Combined Jewish Philanthropies of Greater Boston, Inc.",2018,25250.00,
The Endurance Foundation,2018,22355.00,
The Michael & Dudley Del Balso Charitable Trust,2018,5000.00,
Margaret Evans Tuten Foundation,2018,1000.00,
Esther Simon Charitable Trust,2018,1000.00,
John D. and Catherine T. MacArthur Foundation,2017,400000.00,
Harbourton Foundation,2017,210750.00,
"Josephine and Louise Crane Foundation, Inc.",2017,70000.00,
Stanley W. Watson Foundation,2017,60000.00,
Pisces Foundation,2017,50000.00,
The Endurance Foundation,2017,22355.00,
"Cape Cod Foundation, Inc.",2017,5500.00,
Edmund Beck Foundation,2017,2500.00,
Gordon and Betty Moore Foundation,2016,1600000.00,
"Cassiopeia Foundation, Inc F/K/A Blue Moon Fund, Inc",2016,244100.00,
Wallace Global Fund II,2016,50000.00,
Environmental Defense Fund Incorporated,2016,34000.00,
The Endurance Foundation,2016,25000.00,
Brabson Library & Educational Foundation,2016,3000.00,
Edmund Beck Foundation,2016,3000.00,
"The Carl and Nancy Gewirz Fund, Inc.",2016,,
Harbourton Foundation,2015,200000.00,
Russell Grinnell Memorial Trust,2017,50000.00,
Margaret A. Cargill Foundation,2015,1100000.00,
Global Greengrants Fund Inc,2019,2000.00,
Global Greengrants Fund Inc,2017,3500.00,
The National Lottery Community Fund,2019,12828.00,
Global Greengrants Fund Inc,2017,5000.00,
RSF Social Finance,2016,20000.00,
Lord Mayor's Charitable Foundation,2018,146775.00,
Lord Mayor's Charitable Foundation,2017,38703.00,
Environmental Defense Fund Incorporated,2018,10000.00,
"The New-Land Foundation, Inc.",2016,15000.00,
The Christensen Fund,2016,15000.00,
The Christensen Fund,2015,150000.00,
Global Greengrants Fund Inc,2017,5000.00,
NoVo Foundation,2016,150000.00,
Geofamily Foundation,2018,1500.00,
Charles Stewart Mott Foundation,2018,1900000.00,
"Jim Moran Foundation, Inc.",2020,60000.00,
Lee County Electric Cooperative Inc (lcec),2018,7500.00,
Lee County Electric Cooperative Inc (lcec),2017,7500.00,
Lee County Electric Cooperative Inc (lcec),2016,7500.00,
Cleveland Foundation,2018,10000.00,
Global Greengrants Fund Inc,2017,4800.00,
Mercy Hospital Fort Smith,2018,35247.00,
Mercy Hospital Fort Smith,2017,25000.00,
Mercy Hospital Fort Smith,2018,15000.00,
Mercy Hospital Fort Smith,2017,16000.00,
Mercy Hospital Fort Smith,2017,16000.00,
The William and Flora Hewlett Foundation,2019,500000.00,
"Dekko Foundation, Inc.",2015,246454.00,
Corning Incorporated Foundation,2017,6000.00,
"The Ida and Robert Gordon Family Foundation, Inc.",2018,15000.00,
Global Greengrants Fund Inc,2019,5567.00,
NORTON HEALTHCARE INC,2016,7000.00,
"Herbert H. Kohl Charities, Inc.",2016,100.00,
"Herbert H. Kohl Charities, Inc.",2016,100.00,
Global Greengrants Fund Inc,2019,2797.00,
The Grove Foundation,2019,80000.00,
The Grove Foundation,2019,70000.00,
The California Endowment,2018,539011.00,
The California Endowment,2017,680560.00,
The California Endowment,2019,526011.00,
The Libra Foundation,2020,200000.00,
The Libra Foundation,2020,100000.00,
Amalgamated Charitable Foundation Inc,2019,130000.00,
"The Keith Campbell Foundation for the Environment, Inc.",2017,1600.00,
"The Kate, Bill and Diane Foundation",2018,3400.00,
"The Kate, Bill and Diane Foundation",2017,4000.00,
Mercy Hospital Fort Smith,2017,20000.00,
Global Greengrants Fund Inc,2016,3300.00,
"Unitarian Universalist Service Committee, Inc.",2019,35000.00,
Global Greengrants Fund Inc,2019,5000.00,
Global Greengrants Fund Inc,2018,10135.00,
Global Greengrants Fund Inc,2018,5000.00,
Global Greengrants Fund Inc,2017,5000.00,
Global Greengrants Fund Inc,2019,4000.00,
"Georgia Power Foundation, Inc.",2019,1000.00,
Tides Foundation,2018,10000.00,
Global Greengrants Fund Inc,2016,5000.00,
Bill & Melinda Gates Foundation,2015,3999301.00,
Oak Foundation,2019,106271.00,
Oak Foundation,2015,100000.00,
Oak Foundation,2015,100000.00,
The Robert Wood Johnson Foundation,2019,251543.00,
The Robert Wood Johnson Foundation,2016,198925.00,
The Fink Family Foundation,2018,5000.00,
Charlotte Y. Martin Foundation,2016,10000.00,
The California Endowment,2017,80000.00,
The California Endowment,2016,160000.00,
"Unitarian Universalist Service Committee, Inc.",2019,25860.00,
"Unitarian Universalist Service Committee, Inc.",2018,32075.00,
Oak Foundation,2018,500000.00,
Oak Foundation,2018,150000.00,
Oak Foundation,2017,695772.00,
Arie and Ida Crown Memorial,2018,200000.00,
The Gallagher Family Foundation,2018,25000.00,
Edward & Romell Ackley Foundation,2018,12500.00,
Kemper Educational and Charitable Fund,2018,10000.00,
Scaife Family Foundation,2018,9000.00,
"Fish Foundation, Inc.",2018,7000.00,
Bartlett Foundation,2018,5000.00,
TeleTech Community Foundation,2018,5000.00,
The STAR Foundation,2018,5000.00,
Stone Family Charitable Foundation,2018,4032.00,
"The Cralle Foundation, Inc.",2018,3000.00,
Hamilton Company Charitable Foundation,2018,2000.00,
Poses Family Foundation,2018,1000.00,
Pegler Family Foundation,2018,500.00,
Arie and Ida Crown Memorial,2017,200000.00,
Virginia A. McKee for the Poor Fund,2017,10000.00,
Scaife Family Foundation,2017,9000.00,
Innovating Worthy Projects Foundation,2017,7500.00,
"Fish Foundation, Inc.",2017,7000.00,
Richard C. Munroe Foundation,2017,5000.00,
Norwin S. and Elizabeth N. Bean Foundation,2017,5000.00,
Stone Family Charitable Foundation,2017,3960.00,
Standard Charitable Foundation,2017,2000.00,
L. P. Schenck Fund,2017,2000.00,
Exelon Foundation,2017,650.00,
Kemper Educational and Charitable Fund,2017,250.00,
Illinois Tool Works Foundation,2017,75.00,
Scaife Family Foundation,2016,17000.00,
The Allergan Foundation,2016,8600.00,
"The People's United Community Foundation, Inc.",2016,6500.00,
Richard C. Munroe Foundation,2016,5000.00,
New Hampshire Charitable Foundation,2016,3400.00,
The Allstate Foundation,2016,1000.00,
Illinois Tool Works Foundation,2016,975.00,
AT&T Foundation,2016,60.00,
Guard Foundation,2016,36.00,
AT&T Foundation,2016,60.00,
Guard Foundation,2016,36.00,
Arie and Ida Crown Memorial,2015,250000.00,
The Chicago Community Trust,2016,2500.00,
The National Lottery Community Fund,2016,13147.00,
"Cassiopeia Foundation, Inc F/K/A Blue Moon Fund, Inc",2015,575000.00,
Global Greengrants Fund Inc,2019,3000.00,
The William and Flora Hewlett Foundation,2018,500000.00,
The William and Flora Hewlett Foundation,2017,1125000.00,
Environmental Defense Fund Incorporated,2017,125000.00,
Environmental Defense Fund Incorporated,2017,125000.00,
The William and Flora Hewlett Foundation,2020,300000.00,
Global Greengrants Fund Inc,2017,2500.00,
"American Jewish World Service, Inc.",2018,10000.00,
Global Greengrants Fund Inc,2016,3196.00,
Global Greengrants Fund Inc,2016,4160.00,
Global Greengrants Fund Inc,2018,1600.00,
Global Greengrants Fund Inc,2017,4300.00,
Global Greengrants Fund Inc,2016,3712.00,
Global Greengrants Fund Inc,2016,5000.00,
Global Greengrants Fund Inc,2019,4000.00,
Global Greengrants Fund Inc,2018,2500.00,
Global Greengrants Fund Inc,2016,3500.00,
Global Greengrants Fund Inc,2019,50000.00,
Global Greengrants Fund Inc,2018,50000.00,
Global Greengrants Fund Inc,2018,20000.00,
Mildred H. McEvoy Foundation,2018,10000.00,
International Women's Health Coalition,2018,20800.00,
Global Greengrants Fund Inc,2019,3500.00,
Global Greengrants Fund Inc,2017,3000.00,
The California Endowment,2019,102362.00,
The California Endowment,2018,102362.00,
Kresge Foundation,2018,225000.00,
Environmental Defense Fund Incorporated,2018,19500.00,
Harris & Frances Block Foundation Inc.,2016,10000.00,
McKnight Foundation,2020,40000.00,
McKnight Foundation,2017,20000.00,
Grand Rapids Community Foundation,2018,1500.00,
Community Foundation for Southeast Michigan,2016,5000.00,
The Wege Foundation,2016,50000.00,
"Northlight Foundation, Inc.",2019,7000.00,
McKnight Foundation,2019,350000.00,
Kresge Foundation,2018,595000.00,
Doris & Floyd Kimble Foundation,2017,10000.00,
Center for Economic Democracy Inc,2019,13988.00,
"Unitarian Universalist Service Committee, Inc.",2019,30000.00,
Christopher Reynolds Foundation Inc,2020,7154.00,
Christopher Reynolds Foundation Inc,2019,1200.00,
Treacy Company,2016,100000.00,
Sunderland Foundation,2016,35000.00,
"First Interstate BancSystem Foundation, Inc.",2019,4000.00,
Overlook International Foundation Inc.,2017,6000000.00,
Barr Foundation,2016,7800.00,
"Compton Foundation, Inc.",2016,50000.00,
Wallace Global Fund II,2015,40000.00,
Charlotte Y. Martin Foundation,2017,8000.00,
Building & Construction Resourcecenter Inc,2016,30000.00,
Building & Construction Resourcecenter Inc,2015,75000.00,
New Hampshire Charitable Foundation,2018,1000.00,
"Cassiopeia Foundation, Inc F/K/A Blue Moon Fund, Inc",2018,200000.00,
"Cassiopeia Foundation, Inc F/K/A Blue Moon Fund, Inc",2016,250000.00,
Mama Cash,2018,47081.00,
Mama Cash,2017,22962.00,
Mama Cash,2016,22200.00,
Fondo Centroamericano de Mujeres,2018,25160.00,
Fondo Centroamericano de Mujeres,2016,21000.00,
Thousand Currents,2018,33500.00,
Thousand Currents,2017,32500.00,
J. Paul Getty Trust,2019,17200.00,
"American Jewish World Service, Inc.",2020,20000.00,
"American Jewish World Service, Inc.",2019,20000.00,
"American Jewish World Service, Inc.",2018,20000.00,
Hitz Foundation,2017,215000.00,
"Arkansas Community Foundation, Inc.",2018,10000.00,
"Arkansas Community Foundation, Inc.",2018,1200.00,
Global Greengrants Fund Inc,2019,25000.00,
The William and Flora Hewlett Foundation,2019,1600000.00,
"Rockefeller Brothers Fund, Inc.",2018,600000.00,
The William and Flora Hewlett Foundation,2016,200000.00,
Atherton Family Foundation,2018,5000.00,
Christopher Reynolds Foundation Inc,2019,7500.00,
Hivos,2017,49000.00,
Hivos,2017,21000.00,
Lord Mayor's Charitable Foundation,2018,95404.00,
ArcelorMittal USA LLC Corporate Giving Program,2017,14500.00,
The Morton-Kelly Charitable Trust,2016,15000.00,
The Charles Léopold Mayer Foundation for Human Progress,2015,26640.00,
"The Jack and Dorothy Byrne Foundation, Inc.",2017,5000.00,
Global Greengrants Fund Inc,2016,5000.00,
Global Greengrants Fund Inc,2017,7000.00,
Global Greengrants Fund Inc,2016,5000.00,
"American Jewish World Service, Inc.",2020,50000.00,
"Grassroots International, Inc.",2016,25000.00,
Global Greengrants Fund Inc,2017,10000.00,
Global Greengrants Fund Inc,2017,5000.00,
Urgent Action Fund - Africa,2019,,
Global Greengrants Fund Inc,2018,10000.00,
Global Greengrants Fund Inc,2016,5000.00,
Hivos,2015,38850.00,
Global Greengrants Fund Inc,2019,4983.00,
Urgent Action Fund - Africa,2018,11173.00,
Global Greengrants Fund Inc,2019,5000.00,
Colcom Foundation,2020,200000.00,
The Pittsburgh Foundation,2017,100000.00,
Charles Stewart Mott Foundation,2020,150000.00,
Environmental Defense Fund Incorporated,2018,100000.00,
Global Greengrants Fund Inc,2019,2000.00,
Tides Foundation,2020,100000.00,
The John Merck Fund,2020,35000.00,
"Anderson-Rogers Foundation, Inc.",2016,5000.00,
Community Foundation for Greater New Haven,2016,2000.00,
William Caspar Graustein Memorial Fund,2017,100000.00,
Nellie Mae Education Foundation,2017,1845982.00,
William Caspar Graustein Memorial Fund,2017,150000.00,
William Caspar Graustein Memorial Fund,2017,50000.00,
RSF Social Finance,2018,20000.00,
Tides Foundation,2017,15000.00,
Global Greengrants Fund Inc,2016,25000.00,
Global Greengrants Fund Inc,2016,22500.00,
"Compton Foundation, Inc.",2016,75000.00,
Tides Foundation,2020,50000.00,
Equity Trustees Charitable Foundation,2019,209217.00,
Helen Macpherson Smith Trust,2020,20416.00,
"First Interstate BancSystem Foundation, Inc.",2016,1250.00,
"Broadbent Family Foundation, Inc.",2018,15000.00,
Wallace Global Fund II,2016,25000.00,
Mills Family Charitable Foundation,2015,35000.00,
"Proteus Fund, Inc.",2017,2250.00,
"Proteus Fund, Inc.",2017,1825.00,
"Counterpart International, Inc.",2018,11595.00,
"Counterpart International, Inc.",2015,50758.00,
Global Greengrants Fund Inc,2017,3500.00,
NoVo Foundation,2015,750000.00,
Global Greengrants Fund Inc,2018,3000.00,
"American Jewish World Service, Inc.",2020,20000.00,
"American Jewish World Service, Inc.",2019,19000.00,
"American Jewish World Service, Inc.",2020,18000.00,
The Myer Foundation,2017,100628.00,
George H. & Jane A. Mifflin Memorial Fund,2016,10000.00,
Global Greengrants Fund Inc,2018,16000.00,
Global Greengrants Fund Inc,2018,3000.00,
Disability Rights Fund Inc.,2017,20000.00,
Global Greengrants Fund Inc,2016,5000.00,
Tides Foundation,2017,1323328.00,
Oak Foundation,2018,5000000.00,
Kresge Foundation,2015,300000.00,
Hawaiian Airlines Foundation,2016,25000.00,
The Sidney E. Frank Foundation,2018,50000.00,
McInerny Foundation,2018,150000.00,
Hawaiian Airlines Foundation,2018,15000.00,
Hawaii Community Foundation,2015,46930.00,
The Heising-Simons Foundation,2016,116692.00,
Oregon Community Foundation,2016,275.00,
Open Society Fund Prague,2020,95284.00,
Environmental Defense Fund Incorporated,2017,190800.00,
Environmental Defense Fund Incorporated,2017,190800.00,
The Johanna A. Favrot Fund,2016,12500.00,
Tides Foundation,2020,100000.00,
Tides Foundation,2020,50000.00,
Environmental Defense Fund Incorporated,2018,60000.00,
Environmental Defense Fund Incorporated,2017,418669.00,
Environmental Defense Fund Incorporated,2017,418669.00,
Property Casualty InsurersAssociation of America,2017,29400.00,
The Cynthia and George Mitchell Foundation,2017,20000.00,
The Cynthia and George Mitchell Foundation,2017,20000.00,
Environmental Defense Fund Incorporated,2018,7500.00,
Environmental Defense Fund Incorporated,2018,45783.00,
Environmental Defense Fund Incorporated,2017,28750.00,
Environmental Defense Fund Incorporated,2017,28750.00,
Global Greengrants Fund Inc,2016,4500.00,
Global Greengrants Fund Inc,2019,5000.00,
Global Greengrants Fund Inc,2017,5000.00,
John Ben Snow Memorial Trust,2019,11000.00,
Tides Foundation,2020,50000.00,
The Libra Foundation,2020,200000.00,
The Libra Foundation,2020,100000.00,
Kresge Foundation,2018,175000.00,
The Schmidt Family Foundation,2017,305000.00,
Kresge Foundation,2016,505000.00,
The Schmidt Family Foundation,2015,238000.00,
Kansas Health Foundation,2018,100000.00,
Global Greengrants Fund Inc,2016,3565.00,
Bill & Melinda Gates Foundation,2020,3641004.00,
Bill & Melinda Gates Foundation,2018,29933931.00,
Bill & Melinda Gates Foundation,2020,4995547.00,
Global Greengrants Fund Inc,2018,2500.00,
Global Greengrants Fund Inc,2018,5000.00,
Mongolian Women's Fund (MONES),2017,173.00,
Global Greengrants Fund Inc,2018,2500.00,
Women First International Fund,2018,7500.00,
John Ben Snow Memorial Trust,2019,8000.00,
The San Diego Foundation,2015,39743.00,
The David and Lucile Packard Foundation,2020,325000.00,
The David and Lucile Packard Foundation,2018,350000.00,
International Community Foundation,2017,25000.00,
The David and Lucile Packard Foundation,2016,400000.00,
Indianapolis Foundation Inc,2017,15000.00,
Environmental Defense Fund Incorporated,2017,131400.00,
Environmental Defense Fund Incorporated,2017,131400.00,
Herbert Simon Family Foundation,2017,55000.00,
"Nicholas H. Noyes, Jr. Memorial Foundation, Inc.",2019,100000.00,
"Nicholas H. Noyes, Jr. Memorial Foundation, Inc.",2019,25000.00,
"Payne & Mencias Foundation, Inc.",2016,500.00,
Building & Construction Resourcecenter Inc,2017,6250.00,
"Max M. and Marjorie S. Fisher Foundation, Inc.",2017,326488.00,
Lord Mayor's Charitable Foundation,2018,20915.00,
The Marisla Foundation,2018,50000.00,
Environmental Defense Fund Incorporated,2018,40000.00,
The Spencer Foundation,2017,127540.00,
The Marisla Foundation,2016,50000.00,
Global Greengrants Fund Inc,2019,5000.00,
The Jordan Fund,2017,1000.00,
Scan Design By Inge & Jens Bruun Foundation,2018,60000.00,
Scan Design By Inge & Jens Bruun Foundation,2017,60000.00,
Park Foundation,2020,15000.00,
Park Foundation,2020,27500.00,
"Oxfam America, Inc.",2018,10000.00,
Park Foundation,2017,65000.00,
Cedar Tree Foundation,2018,5000.00,
Park Foundation,2018,70000.00,
Park Foundation,2020,10000.00,
"Community Foundation of Tompkins County, Inc.",2019,500.00,
The William and Flora Hewlett Foundation,2020,1000000.00,
"FASOL - Fondo Acción Solidaria, A.C.",2017,2673.00,
Global Greengrants Fund Inc,2017,2000.00,
