R_Name,Year,Amount,
Rice University,2018,60000.00,
Rice University,2017,418669.00,
Rice University,2017,418669.00,
Texans for Lawsuit Reform,2017,29400.00,
Texas Climate News,2017,20000.00,
Texas Climate News,2017,20000.00,
University of Houston,2018,7500.00,
University of Texas Health Science Center at Houston,2018,45783.00,
University of Texas Health Science Center at Houston,2017,28750.00,
University of Texas Health Science Center at Houston,2017,28750.00,
EarthLore Foundation,2016,4500.00,
Asociaci√≥n de Pescadores Pejerreyeros Artesanales de la Galera y Anexos del Puerto de Huacho,2019,5000.00,
Saphichay,2017,5000.00,
The Olana Partnership,2019,11000.00,
California Environmental Justice Alliance,2020,50000.00,
Communities for A Better Environment,2020,200000.00,
Communities for A Better Environment,2020,100000.00,
Communities for A Better Environment,2018,175000.00,
Communities for A Better Environment,2017,305000.00,
Communities for A Better Environment,2016,505000.00,
Communities for A Better Environment,2015,238000.00,
Climate Energy Project,2018,100000.00,
Greenline Africa Trust,2016,3565.00,
International Crops Research Institute for the Semi-Arid Tropics,2020,3641004.00,
International Crops Research Institute for the Semi-Arid Tropics,2018,29933931.00,
International Institute of Tropical Agriculture,2020,4995547.00,
International Support Network for African Development,2018,2500.00,
Fitsaboana Malagasy eto Ranomafana,2018,5000.00,
"Network of Women‚'s NGOs, Umnu-gobi province",2017,173.00,
Climate Aid Initiative,2018,2500.00,
Mikono Yetu Centre for Creativity and Innovation,2018,7500.00,
Safe Haven Rescue Zoo,2019,8000.00,
Southwest Wetlands Interpretive Association,2015,39743.00,
Wildcoast,2020,325000.00,
WildCoast,2018,350000.00,
WildCoast,2017,25000.00,
WildCoast,2016,400000.00,
Earth Charter Indiana Inc,2017,15000.00,
Evangelical Environmental Network,2017,131400.00,
Evangelical Environmental Network,2017,131400.00,
INDIANA RECYCLING COALITION,2017,55000.00,
Indiana Repertory Theatre Inc.,2019,100000.00,
Indiana Repertory Theatre Inc.,2019,25000.00,
March of Dimes Indiana,2016,500.00,
THE INDIANA PLAN FOR EQUAL EMPLOYMENT INC,2017,6250.00,
Starfish Family Services,2017,326488.00,
South Gippsland Conservation Society Inc,2018,20915.00,
"University of California, Irvine",2018,50000.00,
"University of California, Irvine",2018,40000.00,
"University of California, Irvine",2017,127540.00,
"University of California, Irvine",2016,50000.00,
Isiolo Different Abilities Youth Forum,2019,5000.00,
Life Enrichment Options,2017,1000.00,
Pomegranate Center,2018,60000.00,
Pomegranate Center,2017,60000.00,
Cooperative Extension Association in the State of New York,2020,15000.00,
Cornell University,2020,27500.00,
Cornell University,2018,10000.00,
Cornell University,2017,65000.00,
Paleontological Research Institution,2018,5000.00,
Suicide Prevention and Crisis Service of Tompkins County,2018,70000.00,
Sustainable Tompkins Inc,2020,10000.00,
Sustainable Tompkins Inc,2019,500.00,
Transport & Environment,2020,1000000.00,
Grupo de mujeres zapotecas defensoras de la madre tierra LAS ME√ëAS,2017,2673.00,
El Canal es de Todos,2017,2000.00,
City of Jackson Mississippi,2020,475549.00,
Community Foundation for Mississippi,2019,750000.00,
Foundation for the Mid South,2017,30000.00,
One Voice Inc.,2017,150000.00,
Southern Echo Inc,2017,30000.00,
DRUM,2017,2000.00,
Southern Oregon Climate Action Now,2019,2000.00,
Southern Oregon Historical Society Foundation,2018,2000.00,
North Florida Land Trust,2017,2500.00,
La Via Campesina,2016,11500.00,
Scale Up Indonesia,2018,500000.00,
Transformasi untuk Keadilan Indonesia,2019,100000.00,
Wahana Lingkungan Hidup Indonesia,2019,2993.00,
Yayasan Perspektif Baru,2018,200000.00,
"Aksi! for gender, social and ecological justice",2016,55500.00,
Remedios Valen,2017,4000.00,
Sierra Gorda Beekeepers Association,2016,3000.00,
Missouri Department of Health and Senior Services,2017,4000.00,
National Philanthropic Trust,2019,275000.00,
"The American Friends of Heschel Center, Inc.",2017,10000.00,
"The American Friends of Heschel Center, Inc.",2016,7000.00,
"Adetunji, Olufemi",2019,3000.00,
Fantahun and Nigussie Vegetable and Fruits Farming Partnership Shareholder Association,2018,3405.00,
Anonymous Recipient,2020,17000.00,
"Asociaci√≥n de Educaci√≥n y Comunicaci√≥n ""La Cuculmeca""",2019,23800.00,
Earthlife Africa Jhb,2015,40000.00,
GenderCC South Africa- Women for Climate Justice,2017,4000.00,
Genesis Analytics,2018,499977.00,
Global Fund for Community Foundations,2015,250000.00,
WoMin,2020,750000.00,
WoMin,2020,50000.00,
WoMin,2019,100000.00,
WoMin,2019,50000.00,
WoMin,2019,6500.00,
WoMin,2017,68741.00,
WoMin African Alliance,2016,55500.00,
WoMin African Alliance,2015,66600.00,
Community Foundation for the Alleghenies,2020,990000.00,
Community Foundation for the Alleghenies,2020,75000.00,
Community Foundation for the Alleghenies,2020,50000.00,
Community Foundation for the Alleghenies,2018,150000.00,
Index Award A/S,2016,50000.00,
Healthy Climate Communities,2017,20000.00,
Healthy Climate Communities,2017,20000.00,
Evergreen School District #50,2019,500.00,
People's Development Plan,2019,5000.00,
Action for Community Development,2019,5000.00,
Alliance for Food Sovereignty in Africa,2020,204033.00,
Alliance for Food Sovereignty in Africa,2020,10000.00,
Alliance for Food Sovereignty in Africa,2019,35000.00,
Civic Response on Environment and Development,2020,22000.00,
Concerned Citizens,2018,5000.00,
Environmental Management for Livelihood Improvement Bwaise Facility,2017,7000.00,
Leadership Square Africa,2017,3950.00,
Maganjo Farmers Association,2017,7500.00,
Maganjo Farmers Association,2016,7500.00,
National Association for Women's Action in Development,2017,6000.00,
National Association of Professional Environmentalists,2019,18518.00,
Natl Agricultural Research Org,2020,500000.00,
Natl Agricultural Research Org,2016,5700000.00,
Raiser Foundation Limited,2019,5000.00,
Teso Youth Development Initiative,2018,6000.00,
The Ultimate Global and National Daily Analytical News Limited,2018,4000.00,
Uganda Radio Network,2020,450000.00,
Uganda Wildlife Authority,2017,5000.00,
United Organisation for Batwa Development in Uganda,2018,16000.00,
Women and Rural Development Network,2018,46000.00,
ARK Ecological NGO,2019,2500.00,
Tumutumu School for the Deaf,2019,5000.00,
Center for Research on Environment Health and Population Activities,2018,23100.00,
Digo Bikas Institute,2018,20000.00,
Health Care Foundation Nepal,2019,20000.00,
Himalayan Climate Initiative,2017,137207.00,
Jal Sarokar Manch,2018,5000.00,
Nari Chetana Kendra Nepal,2017,50000.00,
National Indigenous Disabled Women Association Nepal,2019,20000.00,
National Indigenous Disabled Women Association Nepal,2018,15500.00,
National Indigenous Disabled Women Association Nepal,2018,7000.00,
National Indigenous Disabled Women Association Nepal,2017,10000.00,
Prakriti,2018,36089.00,
Tourism Development Endeavors,2018,4300.00,
Youth Federation of Indigenous Nationalities Nepal,2016,4832.00,
"Bedford 2030, Inc.",2018,42500.00,
"Bedford 2030, Inc.",2018,15000.00,
"Bedford 2030, Inc.",2018,10000.00,
"Bedford 2030, Inc.",2018,2000.00,
"Bedford 2030, Inc.",2018,1500.00,
"Bedford 2030, Inc.",2018,1000.00,
"Bedford 2030, Inc.",2018,500.00,
"Bedford 2030, Inc.",2018,500.00,
"Bedford 2030, Inc.",2017,50000.00,
"Bedford 2030, Inc.",2017,32020.00,
"Bedford 2030, Inc.",2017,10000.00,
"Bedford 2030, Inc.",2017,1000.00,
"Bedford 2030, Inc.",2017,500.00,
"Bedford 2030, Inc.",2017,500.00,
"Bedford 2030, Inc.",2017,300.00,
"Bedford 2030, Inc.",2017,250.00,
"Bedford 2030, Inc.",2017,100.00,
"Bedford 2030, Inc.",2017,100.00,
"Bedford 2030, Inc.",2016,10000.00,
"Bedford 2030, Inc.",2016,5000.00,
"Bedford 2030, Inc.",2016,2500.00,
"Bedford 2030, Inc.",2016,2000.00,
"Bedford 2030, Inc.",2016,700.00,
"Bedford 2030, Inc.",2016,500.00,
"Bedford 2030, Inc.",2016,500.00,
"Bedford 2030, Inc.",2016,500.00,
"Bedford 2030, Inc.",2016,250.00,
"Bedford 2030, Inc.",2016,100.00,
"Bedford 2030, Inc.",2016,100.00,
Association Criado pour l'Epanouissement des Enfants D√©h√©rit√©s,2017,5000.00,
Transition Initiative Kenora,2017,11294.00,
University of New South Wales Global,2017,4644366.00,
Cool the Earth,2019,5000.00,
Cool the Earth,2018,5000.00,
Cool the Earth,2017,25000.00,
Cool the Earth,2016,30000.00,
Cool the Earth,2016,10893.00,
Cool the Earth,2016,30.00,
Cool the Earth,2016,30.00,
Cool the Earth,2015,30000.00,
Obengkrom Community,2018,3000.00,
Donkokrom Community,2019,5000.00,
Asaman and Koforidua Women Association for Development,2017,4500.00,
Rural Women Association for Self Sustenance,2017,4000.00,
College of the Menominee Nation,2016,29700.00,
"Reef Environmental Education Foundation, Inc.",2019,25000.00,
Ulu Foundation,2017,100000.00,
Ulu Foundation,2016,100000.00,
Ulu Foundation,2015,100000.00,
Zenab for Women's Development,2019,20000.00,
Zenab for Women's Development,2019,18000.00,
Zenab for Women's Development,2018,5000.00,
Shibuye Community Health Workers,2018,44000.00,
Bangladesh Environment and Development Society (BEDS),2018,5500.00,
Initiative for Right View,2017,5000.00,
Ukrainian Youth Climate Association,2018,9900.00,
Ukrainian Youth Climate Association,2017,5000.00,
Action pour la Sauvegarde de l‚'Enfant et la Femme Abandonn√©s,2017,4000.00,
University of Rhode Island Foundation,2018,35000.00,
University of Rhode Island Foundation,2018,33333.00,
University of Rhode Island Foundation,2017,35000.00,
University of Rhode Island Foundation,2017,33333.00,
University of Rhode Island Foundation,2016,40000.00,
University of Rhode Island Foundation,2016,33333.00,
University of Rhode Island Foundation,2015,40000.00,
Action Humanitaire Laurent Mbala Munongo,2018,3000.00,
Actions de Solidarit√© avec les Personnes Vuln√©rables,2017,2000.00,
Femmes Solidaires,2018,7500.00,
Femmes Solidaires,2017,5000.00,
Fondation Pasi Andr√© pour l‚'Environnement,2017,4000.00,
Fondation Pasi Andr√© pour l‚'Environnement,2017,3000.00,
Fonds pour les Femmes Congolaises,2018,38056.00,
Jeunesse verte,2017,4000.00,
Les Amis du Vert,2017,5000.00,
Solidarite Feminine pour la Paix et le Developpement Integral,2020,10000.00,
Association pour le D√©veloppement Int√©gr√© de Mambr√© et Ses Alentours,2017,5000.00,
Je CHANGE POUR LE CLIMAT,2018,5000.00,
La R√©novation/Voie de l‚'Int√©gration Environnementale de la Femme,2018,5000.00,
La R√©novation/Voie de l‚'Int√©gration Environnementale de la Femme,2016,4000.00,
Organisation Pour La Prise En Charge Des Enfants Deminus Et Orphelin,2016,4000.00,
Tulinde Mazingira,2019,4000.00,
Ross Ragland Theater,2018,9710.00,
Hohoe Sankofa Women Co-Operative Food Farmers and Marketing Society Limited,2018,6800.00,
Southern Alliance for Clean Energy,2018,40000.00,
Southern Alliance for Clean Energy,2017,50000.00,
Tomara Women's Fellowship Association,2016,5000.00,
GIE Danaya de Ouolofobougou,2016,3000.00,
Oaloapel Youth,2019,5000.00,
U Organization of Women,2016,5000.00,
"Enimwahn Development Association, Inc.",2017,5000.00,
Hydroponics of the Pacific,2017,4900.00,
Pulinsokon Likinkapin Inc.,2016,5000.00,
Association Paysans en Action au Bam,2019,3000.00,
Hatohobei Organization for People and Environment,2017,29360.00,
Jaringan Masyarakat Gambut Riau,2019,4000.00,
Kampuchea Womens Welfare Action,2020,6512.00,
Kampuchea Womens Welfare Action,2018,5000.00,
Humana People to People China - Kunming,2016,98500.00,
Pesticide Eco-Alternatives Center Yunnan Thoughtful Action,2020,300000.00,
Democracy in Action,2018,5000.00,
"Research-Intellectual Club Dialogue of Generations""""",2019,10000.00,
"Research-Intellectual Club Dialogue of Generations""""",2017,4000.00,
To Nizhoni Ani,2019,110000.00,
Biolinks Alliance,2018,58710.00,
Kyoto University,2017,103216.00,
Organizaci√≥n la Esperanza de las Mujeres Garifunas de Honduras - OLAMUGAH,2019,19800.00,
Organizaci√≥n la Esperanza de las Mujeres Garifunas de Honduras - OLAMUGAH,2018,21566.00,
Adroh,2017,27990.00,
Greater Hells Canyon Council,2020,100000.00,
Molina Center for Energy and the Environment,2017,20000.00,
Molina Center for Energy and the Environment,2017,20000.00,
"re:focus partners, LLC",2017,220000.00,
Scripps Institution of Oceanography,2018,600000.00,
Scripps Institution of Oceanography,2018,31500.00,
Scripps Institution of Oceanography,2016,600000.00,
Scripps Institution of Oceanography,2015,600000.00,
University of California at San Diego Foundation,2018,250000.00,
University of California at San Diego Foundation,2015,600000.00,
"University of California, San Diego",2015,29181.00,
Central de Mujeres Ind√≠genas del Norte de La Paz,2018,7100.00,
Central de Mujeres Ind√≠genas del Norte de La Paz,2017,8151.00,
Consejo Nacional de Ayllus y Markas del Qullasuyu,2017,4000.00,
"Sindicato De Trabajadoras Asalariadas Del Hogar Zona Sur, La Paz",2016,830.00,
"Como Vamos La Paz, A.C.",2020,9500.00,
"Fondo Accion Solidaria, A.C.",2018,35000.00,
"Fondo Accion Solidaria, A.C.",2016,78000.00,
"Fondo Accion Solidaria, A.C.",2016,15000.00,
Noroeste Sustentable,2018,75000.00,
League of Oil & Gas Impacted Coloradans,2018,10000.00,
League of Oil & Gas Impacted Coloradans,2017,10000.00,
"Centre for Children's Health Education, Orientation and Protection",2018,2500.00,
"Centre for Children's Health Education, Orientation and Protection",2016,5000.00,
EnviroNews Development Network,2019,3000.00,
International Center for Environmental Health and Development,2018,2000.00,
United States Friends of the David Sheldrick Wildlife Trust,2018,2500.00,
Lake Placid Center for the Arts,2015,30285.00,
Lake Worth Waterkeeper,2019,1000.00,
Institute for Energy Economics and Financial Analysis Inc,2018,60000.00,
Institute for Energy Economics and Financial Analysis Inc,2018,60000.00,
Institute for Energy Economics and Financial Analysis Inc,2018,12500.00,
Institute for Energy Economics and Financial Analysis Inc,2018,5000.00,
Institute for Energy Economics and Financial Analysis Inc,2017,30000.00,
Institute for Energy Economics and Financial Analysis Inc,2017,5000.00,
Institute for Energy Economics and Financial Analysis Inc,2016,130000.00,
Institute for Energy Economics and Financial Analysis Inc,2016,75000.00,
Institute for Energy Economics and Financial Analysis Inc,2016,50000.00,
Institute for Energy Economics and Financial Analysis Inc,2016,30000.00,
Institute for Energy Economics and Financial Analysis Inc,2015,100000.00,
Institute for Energy Economics and Financial Analysis Inc,2015,75000.00,
Institute for Energy Economics and Financial Analysis Inc,2015,60000.00,
Institute for Energy Economics and Financial Analysis Inc,2015,30000.00,
Community Empowerment and Social Justice Foundation,2016,5000.00,
National Indigenous Disabled Women Association Nepal,2019,5000.00,
Women's Rehabilitation Center,2015,36000.00,
Third Sector Renewables,2019,12738.00,
Save Lamu,2019,5000.00,
Beyond the Choir,2017,5000.00,
Wyoming Outdoor Council,2018,50000.00,
Wyoming Outdoor Council,2017,65000.00,
Wyoming Outdoor Council,2017,65000.00,
Wyoming Outdoor Council,2016,64250.00,
WYOMING WILDLIFE FEDERATION,2018,65867.00,
Michigan Environmental Council,2020,150000.00,
Michigan Environmental Council,2018,700000.00,
Michigan Environmental Council,2015,85000.00,
University of Wyoming,2018,51300.00,
University of Wyoming,2017,15785.00,
University of Wyoming,2017,15785.00,
Nm Comunidades En Accion Y De Fe,2020,25000.00,
Clean Enery Project Inc,2017,6000.00,
Clean Enery Project Inc,2017,6000.00,
Communities In Schools of Nevada,2020,12500.00,
Communities In Schools of Nevada,2018,12000.00,
Communities In Schools of Nevada,2017,15000.00,
Communities In Schools of Nevada,2017,15000.00,
Progressive Leadership Alliance of Nevada,2017,25000.00,
Progressive Leadership Alliance of Nevada,2015,200000.00,
Interstate Renewable Energy Council,2017,375000.00,
Interstate Renewable Energy Council,2016,350000.00,
Interstate Renewable Energy Council,2015,350000.00,
Climate and Energy Project Inc,2020,65000.00,
Climate and Energy Project Inc,2018,74967.00,
Climate and Energy Project Inc,2017,225000.00,
Climate and Energy Project Inc,2016,100000.00,
Climate and Energy Project Inc,2016,24956.00,
University of Kansas Center for Research,2018,112500.00,
University of Kansas Center for Research,2017,112500.00,
University of Kansas Center for Research,2015,112500.00,
"Lawrence Community Works, Inc.",2017,497470.00,
Project Extreme,2016,500.00,
"Georgia School Boards Association, Inc.",2018,25000.00,
"Georgia School Boards Association, Inc.",2017,25000.00,
Mascoma Valley Health Initiative,2016,1000.00,
Upper Valley Housing Coalition,2016,700.00,
Permaculture Association,2017,100000.00,
University of Leeds,2020,379254.00,
University of Leeds,2016,1500000.00,
University of Leeds,2016,605809.00,
Fundacja Rozw√≥j TAK ‚Äì Odkrywki NIE,2018,9000.00,
University of Ghana,2018,91270.00,
A.L.S.Z.V. De Blauwe Schuit,2016,472.00,
Museum Boerhaave,2016,138750.00,
Massachusetts Audubon Society,2019,3500.00,
Livelihoods Knowledge Exchange Network (LiKEN),2019,25000.00,
Livelihoods Knowledge Exchange Network Inc,2019,8901.00,
University of Kentucky Research Foundation,2016,176383.00,
University of Kentucky Research Foundation,2015,169324.00,
Deploy-Us Inc,2019,100000.00,
Deploy-Us Inc,2017,40000.00,
Deploy-Us Inc,2017,25000.00,
Cmelak - Spolecnost pratel prirody z.s.,2020,95941.00,
Climate Smart Agriculture Youth Network,2019,5050.00,
Green Girls Platform,2018,4950.00,
Green Livelihoods,2020,5000.00,
World Faith Malawi,2016,4955.00,
Youth for Environment and Sustainable Development,2018,9865.00,
Association Ecology Technology and Culture in the Andes,2019,100000.00,
Association Ecology Technology and Culture in the Andes,2018,38000.00,
Centro de Culturas Ind√≠genas del Per√∫,2017,25000.00,
Centro Peruano para la Resiliencia de Socioecosistemas Urbanos ‚Äì Centro Urbes,2019,5000.00,
Chirapaq Centro de Culturas Ind√≠genas del Per√∫,2018,5000.00,
CooperAcci√≥n - Acci√≥n Solidaria Para El Desarrollo,2020,1000000.00,
"Derecho, Ambiente y Recursos Naturales",2016,114400.00,
Fridays for Future Peru,2019,5000.00,
Fundacion para el Desarrollo Solidario,2016,300000.00,
Fundacion Solidaridad Latinoamericana,2017,33500.00,
Movimiento Ciudadano Frente Al Cambio Climatico,2018,3500.00,
Permanent Seminar on Agrarian Research,2019,232000.00,
Sosten.ibles,2017,5000.00,
TierrActiva Peru,2018,5350.00,
"Massachusetts Audubon Society, Inc.",2019,2000.00,
"Massachusetts Audubon Society, Inc.",2017,15000.00,
"Massachusetts Audubon Society, Inc.",2017,15000.00,
"Massachusetts Audubon Society, Inc.",2016,15000.00,
"Massachusetts Audubon Society, Inc.",2016,12000.00,
Governors Biofuels Coalition,2018,10000.00,
Lux Center for the Arts,2016,25000.00,
University of Nebraska Foundation,2016,1200.00,
Mercy Ships,2017,25000.00,
Mercy Ships,2016,20000.00,
Clim√°ximo,2019,15800.00,
Clim√°ximo,2018,12500.00,
Arkansas Public Policy Panel Inc,2016,1000.00,
Arkansas Public Policy Panel Inc,2016,1000.00,
Heifer Project International,2016,3500.00,
William J. Clinton Presidential Foundation,2015,30000.00,
Winrock International Institute for Agricultural Development,2016,550000.00,
New England Forestry Foundation,2019,10000.00,
New England Forestry Foundation,2015,70000.00,
Western Sustainability Exchange,2018,120000.00,
Western Sustainability Exchange,2018,65000.00,
Friends of Lake Turkana,2019,,
Les Amis de la Terre,2016,11083.00,
Oilwatch Africa Togo,2016,8000.00,
0.423611111,2019,29503.00,
0.423611111,2018,132518.00,
0.423611111,2017,5000.00,
ActionAid,2020,260000.00,
ActionAid,2018,266500.00,
Ashden Awards,2017,13107.00,
British Broadcasting Corporation,2017,295000.00,
C40 Cities Climate Leadership Group Inc,2018,75000.00,
C40 Cities Climate Leadership Group Inc,2017,250000.00,
C40 Cities Climate Leadership Group Inc,2015,200000.00,
Cape Farewell,2017,15000.00,
Cape Farewell,2017,15000.00,
Cape Farewell,2015,100000.00,
CDP Worldwide,2019,1000000.00,
CDP Worldwide,2019,49680.00,
CDP Worldwide,2019,35917.00,
CDP Worldwide,2018,2641000.00,
CDP Worldwide,2018,650902.00,
CDP Worldwide,2018,650000.00,
CDP Worldwide,2018,347924.00,
CDP Worldwide,2018,250000.00,
CDP Worldwide,2017,3859000.00,
China Dialogue,2019,700000.00,
China Dialogue,2018,652386.00,
China Dialogue,2018,400000.00,
China Dialogue,2016,537361.00,
China Dialogue,2016,286083.00,
ClientEarth,2020,250000.00,
ClientEarth,2016,75000.00,
ClientEarth,2015,75000.00,
Climate Change Organisation,2019,384828.00,
Climate Change Organisation,2016,200000.00,
Climate Change Organisation,2016,200000.00,
Climate Change Organisation,2016,200000.00,
Climate Change Organisation,2016,30000.00,
Climate Change Organisation,2015,555001.00,
Complicit√©,2019,12828.00,
Environmental Justice Foundation,2016,500000.00,
Gaia Foundation,2020,114769.00,
Gaia Foundation,2016,114651.00,
Global Greengrants Fund UK,2018,400000.00,
Health Limited,2018,200000.00,
InterClimate Trust,2018,116145.00,
InterClimate Trust,2015,99364.00,
International Institute for Environment and Development,2018,566218.00,
International Institute for Environment and Development,2018,150000.00,
International Institute for Environment and Development,2017,225000.00,
Laureus Sport for Good Foundation,2018,132504.00,
Metro Centre Limited,2016,99540.00,
PLATFORM,2019,128276.00,
PRI Association,2018,500000.00,
Responding to Climate Change Limited,2019,47000.00,
The Climate Coalition,2017,98304.00,
Third Generation Environmentalism,2019,327104.00,
Third Generation Environmentalism,2018,384993.00,
Third Generation Environmentalism,2018,112640.00,
Third Generation Environmentalism,2017,78643.00,
Third Generation Environmentalism,2016,100000.00,
Trees for Cities,2019,10000.00,
Trees for Cities,2018,10000.00,
Trees for Cities,2017,3750.00,
UK Citizens Online Democracy,2020,400000.00,
University College London,2015,100000.00,
Wateraid,2017,98755.00,
Kentucky Coalition,2018,50000.00,
Kentucky Coalition,2018,30000.00,
Kentucky Coalition,2017,30000.00,
The Alliance for Appalachia,2020,15000.00,
Accounting for Sustainability,2020,300000.00,
Amnesty International International Secretariat,2019,1130000.00,
Asset Owners Disclosure Project,2017,150000.00,
Asset Owners Disclosure Project,2016,250000.00,
Asset Owners Disclosure Project,2016,250000.00,
Asset Owners Disclosure Project,2016,200000.00,
Asset Owners Disclosure Project,2015,250000.00,
BOND,2020,127521.00,
Carbon Tracker Initiative Limited,2020,200000.00,
Carbon Tracker Initiative Limited,2018,750000.00,
Carbon Tracker Initiative Limited,2018,100000.00,
Carbon Tracker Initiative Limited,2018,75000.00,
Carbon Tracker Initiative Limited,2017,500000.00,
Carbon Tracker Initiative Limited,2017,375000.00,
Carbon Tracker Initiative Limited,2017,375000.00,
Carbon Tracker Initiative Limited,2016,382362.00,
Carbon Tracker Initiative Limited,2015,375000.00,
Carbon Tracker Initiative Limited,2015,375000.00,
Clientearth the Hothouse,2018,70000.00,
Climate Action Network Association e.V.,2016,300000.00,
Climate Bonds Initiative,2019,749996.00,
Climate Bonds Initiative,2018,30000.00,
Climate Bonds Initiative,2017,400000.00,
Climate Bonds Initiative,2016,749519.00,
Climate Bonds Initiative,2015,510000.00,
Climate Bonds Initiative,2015,300000.00,
Doc Society,2020,100000.00,
Doc Society,2019,30000.00,
Doc Society,2018,100000.00,
Global Legal Action Network,2018,50000.00,
King's College London,2019,17959.00,
Royal United Services Institute,2019,500000.00,
Climate Home News,2018,25000.00,
Pro-Natura UK,2018,5885.00,
Pro-Natura UK,2017,5740.00,
Cartion Tracker Initiative Limited,2015,75000.00,
Influence Map,2018,50000.00,
WATERAID Climate Resilient Sanitation Facilities in Secondary Schools in Coastal Southwest Bangladesh - Phase II,2018,200918.00,
Filipino Migrant Center,2017,40000.00,
Filipino Migrant Center,2016,80000.00,
Special Olympics Southern California,2016,100.00,
Special Olympics Southern California,2016,100.00,
"The California Conference for Equality and Justice, Inc.",2015,175000.00,
United Cambodian Community Inc,2018,95700.00,
United Cambodian Community Inc,2017,95700.00,
Clean Ocean Action Inc,2020,40000.00,
Clean Water Fund,2019,65000.00,
Clean Water Fund,2018,45000.00,
Clean Water Fund,2018,30000.00,
Clean Water Fund,2017,45000.00,
Clean Water Fund,2016,65000.00,
Clean Water Fund,2015,65000.00,
Clean Water Fund,2015,30000.00,
First Nations Development Institute,2015,750000.00,
"Natural Capitalism Solutions, Inc.",2020,100000.00,
"Natural Capitalism Solutions, Inc.",2019,7000.00,
"Natural Capitalism Solutions, Inc.",2018,100000.00,
"Natural Capitalism Solutions, Inc.",2018,50000.00,
"Natural Capitalism Solutions, Inc.",2018,8000.00,
"Natural Capitalism Solutions, Inc.",2018,100.00,
"Natural Capitalism Solutions, Inc.",2017,175000.00,
"Natural Capitalism Solutions, Inc.",2017,50000.00,
"Natural Capitalism Solutions, Inc.",2017,50000.00,
"Natural Capitalism Solutions, Inc.",2017,40000.00,
"Natural Capitalism Solutions, Inc.",2017,8000.00,
"Natural Capitalism Solutions, Inc.",2017,3000.00,
"Natural Capitalism Solutions, Inc.",2017,2000.00,
"Natural Capitalism Solutions, Inc.",2016,40282.00,
"Natural Capitalism Solutions, Inc.",2016,10000.00,
"Natural Capitalism Solutions, Inc.",2016,10000.00,
"Natural Capitalism Solutions, Inc.",2015,150000.00,
"Natural Capitalism Solutions, Inc.",2015,100000.00,
ASSOCIATION MOVING IMAGE ARCHIVISTS,2015,25000.00,
California Greenworks Inc,2019,1500.00,
CASA 0101 INC,2017,118900.00,
Center for councli,2018,100000.00,
Children's Defense Fund,2015,300000.00,
Children's Defense Fund,2015,51750.00,
Climate Action Reserve,2020,20000.00,
Climate Action Reserve,2019,150000.00,
Climate Action Reserve,2018,150000.00,
Climate Action Reserve,2017,140000.00,
Climate Action Reserve,2016,66150.00,
Climate Action Reserve,2016,25000.00,
Climate Resolve,2019,,
Climate Resolve,2018,320000.00,
Climate Resolve,2018,50000.00,
Climate Resolve,2018,50000.00,
Climate Resolve,2018,1018.00,
Climate Resolve,2017,206000.00,
Climate Resolve,2017,1018.00,
Climate Resolve,2017,500.00,
Climate Resolve,2016,1500.00,
Climate Resolve,2015,75000.00,
Coalition for Clean Air,2018,5000.00,
Coalition for Clean Air,2017,250000.00,
Coalition for Clean Air,2016,10000.00,
Community Asset Development Re-Defining Education,2019,75000.00,
Community Asset Development Re-Defining Education,2018,75000.00,
Community Asset Development Re-Defining Education,2017,150000.00,
Community Asset Development Re-Defining Education,2017,105000.00,
Community Asset Development Re-Defining Education,2017,25000.00,
Community Asset Development Re-Defining Education,2016,300000.00,
Community Asset Development Re-Defining Education,2016,210000.00,
Community Coalition for Substance Abuse Prevention and Treatment,2017,375000.00,
Community Coalition for Substance Abuse Prevention and Treatment,2016,750000.00,
Community Coalition for Substance Abuse Prevention and Treatment,2016,80000.00,
Community Coalition for Substance Abuse Prevention and Treatment,2016,25000.00,
Community Partners,2019,105008.00,
Community Partners,2018,104455.00,
Community Partners,2016,239260.00,
Community Partners,2016,92894.00,
Community Partners,2016,50000.00,
Community Partners,2015,150000.00,
Consejo de Federaciones Mexicanas,2017,75000.00,
Consejo de Federaciones Mexicanas,2017,50000.00,
Consejo de Federaciones Mexicanas,2016,25000.00,
Environment California Research & Policy Center,2018,100.00,
Environment California Research & Policy Center,2017,100.00,
Families in Schools,2017,150000.00,
Families in Schools,2015,45800.00,
Hiphop Scholastics,2018,25000.00,
InnerCity Struggle,2019,180000.00,
InnerCity Struggle,2019,50000.00,
InnerCity Struggle,2018,180000.00,
Jobs to Move America,2020,200000.00,
Jobs to Move America,2019,300000.00,
Jobs to Move America,2018,400000.00,
Kiss the Ground,2018,3000.00,
LA Promise Fund,2017,50000.00,
LA Promise Fund,2016,100000.00,
Labor Community Strategy Center,2019,289929.00,
Labor Community Strategy Center,2018,430000.00,
Labor Community Strategy Center,2017,430000.00,
Labor Community Strategy Center,2015,800000.00,
Latino Equality Alliance,2017,10000.00,
Latino Equality Alliance,2016,10000.00,
Leonardo OrCapruo Foundation,2018,25000.00,
Liberty Hill Foundation,2019,50000.00,
Liberty Hill Foundation,2018,48000.00,
Liberty Hill Foundation,2017,481228.00,
Liberty Hill Foundation,2016,962456.00,
Los Angeles Alliance for A New Economy,2015,660000.00,
Los Angeles Area Chamber of Commerce Foundation,2016,500.00,
